date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:33:49	7225/7225	---M--	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202015%2014:30:36%20GMT	http://silicon.ac.in/icit2014/regd.php	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/regd.html	(from http://silicon.ac.in/icit2014/)
09:33:49	5681/5681	---M--	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202015%2014:30:37%20GMT	http://silicon.ac.in/icit2014/dates.php	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/dates.html	(from http://silicon.ac.in/icit2014/)
09:33:49	6412/6412	---M--	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202015%2014:30:37%20GMT	http://silicon.ac.in/icit2014/route.php	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/route.html	(from http://silicon.ac.in/icit2014/)
09:33:50	5074/5074	---M--	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202015%2014:30:37%20GMT	http://silicon.ac.in/icit2014/visainfo.php	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/visainfo.html	(from http://silicon.ac.in/icit2014/)
09:33:50	5772/5772	---M--	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202015%2014:30:37%20GMT	http://silicon.ac.in/icit2014/contacts.php	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/contacts.html	(from http://silicon.ac.in/icit2014/)
09:33:50	1023/1023	---M--	404	error ('Not%20Found')	text/html	etag:%2239c908-3ff-50f16ce97877d%22	http://silicon.ac.in/icit2014/Hotel_Details(ICIT-2014).pdf	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/Hotel_Details(ICIT-2014).pdf	(from http://silicon.ac.in/icit2014/)
09:33:50	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Apr%202015%2014:30:38%20GMT	http://www.silicon.ac.in/sitbbsr/assets/img/new_icon_animated.gif	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/www.silicon.ac.in/sitbbsr/assets/img/new_icon_animated.1a.delayed	(from http://silicon.ac.in/icit2014/)
09:33:50	689/689	---M--	200	added ('OK')	image/gif	etag:%223ddb74-2b1-4b90dc8b71e00%22	http://silicon.ac.in/sitbbsr/assets/img/new_icon_animated.gif	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/sitbbsr/assets/img/new_icon_animated.gif	(from http://silicon.ac.in/icit2014/)
09:33:51	5074/5074	---M--	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202015%2014:30:38%20GMT	http://silicon.ac.in/icit2014/cp.php	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/cp.html	(from http://silicon.ac.in/icit2014/)
09:33:52	18138/18138	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202015%2014:30:39%20GMT	http://silicon.ac.in/icit2014/localinfo.php	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/localinfo.html	(from http://silicon.ac.in/icit2014/)
09:33:53	71806/71806	---M--	200	added ('OK')	image/jpeg	etag:%2253759939-1187e%22	http://silicon.ac.in/icit2014/images/slide-3.jpg	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/images/slide-3.jpg	(from http://silicon.ac.in/icit2014/)
09:33:53	309/309	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2005%20Oct%202009%2012:19:49%20GMT	http://promo.parallels.com/js/promo.plesk.js	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/promo.parallels.com/js/promo.plesk.js	(from http://silicon.ac.in/icit2014/)
09:33:54	2021/2021	---M--	200	added ('OK')	application/javascript	date:Fri,%2001%20Feb%202013%2015:48:18%20GMT	http://jd.revolvermaps.com/2/2.js?i=37rz4j2tfr5&m=0&s=130&c=ff0000&t=1	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/jd.revolvermaps.com/2/2aa1e.js	(from http://silicon.ac.in/icit2014/)
09:33:54	5982/5982	---M--	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202015%2014:30:41%20GMT	http://silicon.ac.in/icit2014/stats.php	S:/Documents_Working-PC/Services/2014/ICIT_2014/Website/ICIT-2014/silicon.ac.in/icit2014/stats.html	(from http://silicon.ac.in/icit2014/)
